source,target,weight,chapter_count,chapters,sample_evidence,relation_definition
关羽,张飞,89,35,1;2;5;7;11;13;14;16;18;19;21;22;25;28;31;34;35;36;37;38;39;40;41;42;45;51;52;53;60;63;65;73;77;81;85,"Chapter 1, P001-013: 正饮间，见一大汉，推著一辆车子，到店门首歇了；入店坐下，便唤酒保：「快斟酒来吃，我待赶入城去投军。」玄德看其人：身长九尺，髯长二尺：面如重枣，唇若涂脂；丹凤眼，卧蚕眉：相貌堂堂，威风凛凛。玄德就邀他同坐，叩其姓名。其人曰：「吾姓关，名羽，字寿长，后改云长，河东解良人也。因本处势豪，倚势凌人，被吾杀了；逃难江湖，五六年矣。今闻此处招军破贼，特来应募。」玄德遂以己志告之。云长大喜。同到张飞庄上，共议大事。 || Chapter 1, P001-014: 飞曰：「吾庄后有一桃园，花开正盛；明日当于园中祭告天地，我三人结为兄弟，协力同心，然后可图大事。」玄德、云长、齐声应曰：「如此甚好。」次日，于桃园中，备下乌牛白马祭礼等项，三人焚香，再拜而说誓曰：「念刘备、关羽、张飞，虽然异姓，既结为兄弟，则同心协力，救困扶危；上报国家，下安黎庶；不求同年同月同日生，但愿同年同月同日死。皇天后土，实鉴此心。背义忘恩，天人共戮。」誓毕，拜玄德为兄，关羽次之，张飞为弟。祭罢天地，复宰牛设酒，聚乡中勇士，得三百余人，就桃园中痛饮一醉。来日收拾军器，但恨无马匹可乘。 || Chapter 1, P001-015: 正思虑间，人报「有两个客人，引一伙伴儅，赶一群马，投庄上来。」玄德曰：「此天佑我也！」三人出庄迎接。原来二客乃中山大商：一名张世平，一名苏双，每年往北贩马，近因寇发而回。玄德请二人到庄，置酒管待，诉说欲讨贼安民之意。二客大喜，愿将良马五十匹相送；又赠金银五百两，镔铁一千斤，以资器用。玄德谢别二客，便命良匠打造双股剑。云长造青龙偃月刀，又名冷艳锯，重八十二斤。张飞造丈八点钢矛。各置全身铠甲。共聚乡勇五百余人，来见邹靖。邹靖引见太守刘焉。三人参见毕，各通姓名。玄德说起宗派，刘焉大喜，遂认玄德为姪。",same_body_paragraph
曹操,袁绍,77,26,3;5;6;10;11;13;14;18;19;22;23;24;26;27;28;29;30;31;33;38;43;45;48;50;56;120,"Chapter 3, P003-005: 太后乃降诏宣进。进得诏便行。主簿陈琳谏曰：「太后此诏，必是十常侍之谋，切不可去。去必有祸。」进曰：「太后诏我，有何祸事？」袁绍曰：「今谋已泄，事已露，将军尚欲入宫耶？」曹操曰：「先召十常侍出，然后可入。」进笑曰：「此小儿之见也。吾掌天下之权，十常侍敢待如何？」绍曰：「公必欲去，我等引甲士护从，以防不测。」 || Chapter 3, P003-006: 于是袁绍、曹操各选精兵五百，命袁绍之弟袁术领之。袁术全身披挂，引兵布列青琐门外。绍与操带剑护送何进至长乐宫前。黄门传懿旨云：「太后特宣大将军，余人不许辄入。」将袁绍、曹操等都阻住宫门外。何进昂然直入。至嘉德殿门，张让、段珪迎出，左右围住，进大惊。让厉声责进曰：「董后何罪，妄以酖死？国母丧葬，托疾不出！汝本屠沽小辈，我等荐之天子，以致荣贵：不思报效，欲相谋害！汝言我等甚浊，其清者是谁？」进慌急，欲寻出路，宫门尽闭，伏甲齐出，将何进砍为两段。后人有诗叹之曰：汉室倾危天数终，无谋何进作三公。几番不听忠臣谏，难免宫中受剑锋。 || Chapter 3, P003-007: 让等既杀何进，袁绍久不见进出，乃于宫门外大叫曰：「请将军上车！」让等将何进首级从墙上掷出，宣谕曰：「何进谋反，已伏诛矣。其余胁从，尽皆赦宥。」袁绍厉声大叫：「阉官谋杀大臣！诛恶党者前来助战！」何进部将吴匡，便于青琐门外放起火来。袁术引兵突入宫庭，但见阉官，不谕大小，尽皆杀之。袁绍、曹操斩关入内。赵忠，程旷，夏恽，郭胜四个被赶至翠花楼前，剁为肉泥。宫中火燄冲天。张让，段珪，曹节，侯览将太后及太子并陈留王劫去内省，从后道走北宫。",same_body_paragraph
刘备,孙权,75,26,34;38;40;42;43;53;54;55;56;57;58;60;61;62;63;65;66;67;73;77;78;80;81;82;83;85,"Chapter 34, P034-004: 言未毕，赵云挺鎗出，径冲彼阵。张武纵马来迎，不三合，被赵云一鎗刺落马下，随手扯住辔头，牵马回阵。陈孙见了，随赶来夺。张飞大喝一声，挺矛直出，将陈孙刺死。众皆溃散。玄德招安余党，平复江夏诸县，班师而回。表出郭迎接入城，设宴庆功。酒至半酣，表曰：「吾弟如此雄才，荆州有倚赖也。但忧南越不时来寇；张鲁、孙权皆足为虑。」玄德曰：「弟有三将，足可委用：使张飞巡南越之境；云长拒固子城，以镇张鲁；赵云拒三江，以当孙权；何足虑哉？」 || Chapter 38, P038-008: 孔明曰：「自董卓造逆以来，天下豪杰并起。曹操势不及袁绍，而竟能克绍者，非惟天时，抑亦人谋也。今操已拥百万之众，挟天子以令诸侯，此诚不可与争锋。孙权据有江东，已历三世，国险而民附，此可用为援，而不可图也。荆州北据汉沔，利尽南海，东连吴会，西通巴蜀，此用武之地，非其主不能守。是殆天所以资将军，将军岂可弃乎？益州险塞，沃野千里，天府之国，高祖因之以成帝业。今刘璋暗弱，民殷国富，而不知存恤，智能之士，思得明君。将军既帝室之胄，信义著于四海，总揽英雄，思贤如渴，若跨有荆益，保其岩阻，西和诸戎，南抚彝越，外结孙权，内修政理；待天下有变，则命一上将，将荆州之兵，以向宛洛；将军身率益州之众，以出秦川，百姓有不箪食壸浆以迎将军者乎？诚如是，则大业可成，汉室可兴矣。此亮所以为将军谋者也。惟将军图之。」言罢，命童子取出画一轴，挂于中堂，指谓玄德曰：「此西川五十四州之图也。将军欲成霸业，北让曹操占天时，南让孙权占地利，将军可占人和。先取荆州为家，后即取西川建基业，以成鼎足之势，然后可图中原也。」 || Chapter 40, P040-002: 却说夏侯惇败回许昌，自缚见曹操，伏地请死。操释之。惇曰：「惇遭诸葛亮诡计，用火攻破我军。」操曰：「汝自幼用兵，岂不知狭处须防火攻？」惇曰：「李典、于禁曾言及此，悔之不及！」操乃赏二人。惇曰：「刘备如此猖獗，真腹心之患也，不可不急除。」操曰：「吾所虑者，刘备、孙权耳。余皆不足介意。今当乘此时扫平江南。」便传令起大兵五十万，令曹仁、曹洪，为第一队；张辽、张郃，为第二队；夏侯渊、夏侯惇，为第三队；于禁、李典，为第四队；操自领诸将为第五队。每队各引兵十万。又令许褚为折冲将军，引兵三千为先锋。选定建安十三年秋七月丙午日出师。",same_body_paragraph
关羽,诸葛亮,69,28,37;38;39;40;41;42;43;45;49;50;51;52;53;56;60;63;65;66;67;73;76;77;78;79;80;81;87;94,"Chapter 37, P037-008: 时云长在侧曰：「某闻管仲、乐毅，乃春秋战国名人，功盖寰宇。孔明自比此二人，毋乃太过？」徽笑曰：「以吾观之，不当比此二人。我欲另以二人比之。」云长问那二人。徽曰：「可比兴周八百年之姜子牙，旺汉四百年之张子房也。」众皆愕然。徽下阶相辞欲行。玄德留之不住。徽出门仰天大笑曰：「卧龙虽得其主，不得其时，惜哉！」言罢，飘然而去。玄德叹曰：「真隐居贤士也！」次日，玄德同关、张并从人等来隆中，遥望山畔数人，荷锄耕于田间，而作歌曰： || Chapter 37, P037-013: 玄德惆怅不已。张飞曰：「既不见，自归去罢了。」玄德曰：「且待片时。」云长曰：「不如且归，再使人来探听。」玄德从其言，嘱付童子：「如先生回，可言刘备拜访。」遂上马，行数里，勒马回观隆中景物，果然山不高而秀雅，水不深而澄清；地不广而平坦，林不大而茂盛；猿鹤相亲，松篁交翠，观之不已。忽见一人，容貌轩昂，丰姿俊爽，头戴逍遥巾，身穿皂布袍，杖藜从山僻小路而来。玄德曰：「此必卧龙先生也。」急下马向前施礼，问曰：「先生非卧龙否？」其人曰：「将军是谁？」玄德曰：「刘备也。」其人曰：「吾非孔明，乃孔明之友，博陵崔州平也。」玄德曰：「久闻大名，幸得相遇。乞即席地权坐，请教一言。」 || Chapter 38, P038-001: 却说玄德访孔明两次不遇，欲再往访之。关公曰：「兄长两次亲往拜谒，其礼太过矣。想诸葛亮有虚名而无实学，故避而不敢见。兄何惑于斯人之甚也？」玄德曰：「不然。昔齐桓公欲见东郭野人，五反而方得一面。况吾欲见大贤耶？」张飞曰：「哥哥差矣。量此村夫，何足为大贤？今番不须哥哥去；他如不来，我只用一条麻绳缚将来！」玄德叱曰：「汝皆不闻周文王谒姜子牙之事乎？文王且如此敬贤，汝何太无礼！今番汝休去，我自与云长去。」飞曰：「既两位哥哥都去，小弟如何落后？」玄德曰：「汝若同往，不可失礼。」",same_body_paragraph
刘备,吕布,65,13,5;12;13;14;15;16;17;18;19;20;22;31;40,"Chapter 5, P005-019: 曹操大喜。只见玄德背后转出张飞，高声大叫：「俺哥哥斩了华雄，不就这里杀入关去，活拏董卓，更待何时！」袁术大怒，喝曰：「俺大臣尚自谦让，量一县令手下小卒，安敢在此耀武扬威！都与赶出帐去！」曹操曰：「得功者赏，何计贵贱乎？」袁术曰：「既然公等只重一县令，我当告退。」操曰：「岂可因一言而误大事耶？」命公孙瓒且带玄德、关、张回寨。众官皆散。曹操暗使人赍牛酒抚慰三人。却说华雄手下败军，报上关来。李肃慌忙写告急文书，申闻董卓。卓急聚李儒、吕布等商议。儒曰：「今失了上将华雄，贼势浩大。袁绍为盟主，绍叔袁隗，现为太傅；倘或里应外合，深为不便，可先除之。请丞相亲领大军，分拨剿捕。」 || Chapter 5, P005-025: 吕布见了，弃了公孙瓒，便战张飞。飞抖擞精神，酣战吕布。连斗五十余合，不分胜负。云长见了，把马一拍，舞八十二斤青龙偃月刀，来夹攻吕布。三匹马丁字儿厮杀。战到三十合，战不倒吕布。刘玄德掣双股剑，骤黄鬃马，刺斜里也来助战。 || Chapter 5, P005-026: 这三个围住吕布，转灯儿般厮杀。八路人马，都看得呆了。吕布架隔遮拦不定，看著玄德面上，虚刺一戟，玄德急闪。吕布荡开阵角，倒拖画戟，飞马便回。三个那里肯舍，拍马赶来。八路军兵，喊声大震，一齐掩杀。吕布军马，望关上奔走；玄德、关、张随后赶来。古人曾有篇言语，单道著玄德、关、张三战吕布：汉朝天数当桓灵，炎炎红日将西倾。奸臣董卓废少帝，刘协懦弱魂梦惊。曹操传檄告天下，诸侯奋怒皆兴兵。议立袁绍作盟主，誓扶王室定太平。温侯吕布世无比，雄才四海夸英伟。护躯银铠砌龙鳞，束发金冠簪雉尾。参差宝带兽平吞，错落锦袍飞凤起。龙驹跳踏起天风，画戟荧煌射秋水。出关搦战谁敢当？诸侯胆裂心惶惶。踊出燕人张翼德，手持蛇矛丈八鎗。虎须倒竖翻金线，环眼圆睁起电光。酣战未能分胜败，阵前恼起关云长。青龙宝刀灿霜雪，鹦鹉战袍飞蛱蝶。马蹄到处鬼神嚎，目前一怒应流血。枭雄玄德掣双锋，抖擞天威施勇烈。三人围绕战多时，遮拦架隔无休歇。喊声震动天地翻，杀气迷漫牛斗寒。吕布力穷寻走路，遥望山塞拍马还。倒拖画杆方天戟，乱散销金五彩旛。顿断绒走赤兔，翻身飞上虎牢关。三人直赶吕布到关下，看见关上西风飘动青罗伞盖。张飞大叫：「此必董卓！追吕布有甚强处！不如先拿董贼，便是斩草除根！」拍马上关，来擒董卓。正是：擒贼定须擒贼首，奇功端的待奇人。未知胜负如何，且听下文分解。",same_body_paragraph
诸葛亮,鲁肃,64,14,42;43;44;45;46;48;49;51;52;53;54;56;57;58,"Chapter 42, P042-024: 正说间，人报江东孙权差鲁肃来吊丧，船已傍岸。孔明笑曰：「大事济矣！」遂问刘琦曰：「往日孙策亡时，襄阳曾遣人去吊丧否？」琦曰：「江东与我家有杀父之雠，安得通庆吊之礼？」孔明曰：「然则鲁肃之来，非为吊丧，乃来探听军情也。」遂谓玄德曰：「鲁肃至，若问曹操动静，主公只推不知。再三问时，主公只说可问诸葛亮。」 || Chapter 42, P042-025: 计议已定，使人迎接鲁肃。肃入城吊丧，收过礼物，刘琦请肃与玄德相见。礼毕，邀入后堂饮酒。肃曰：「久闻皇叔大名，无缘拜会；今幸得见，实为欣慰。近闻皇叔与曹操会战，必知彼虚实：敢问操军约有几何？」玄德曰：「备兵微将寡，一闻操至即走，竟不知彼虚实。」鲁肃曰：「闻皇叔用诸葛孔明之谋，两场火烧得曹操魂亡胆落，何言不知耶？」玄德曰：「除非问孔明，便知其详。」肃曰：「孔明安在？愿求一见。」 || Chapter 42, P042-028: 肃坚请孔明同去。玄德佯不许。孔明曰：「事急矣，请奉命一行。」玄德方才许诺。鲁肃遂别了玄德、刘琦，与孔明登舟，望柴桑郡来。正是：只因诸葛扁舟去，致使曹兵一旦休。不知孔明此去毕竟如何，且看下文分解。",same_body_paragraph
周瑜,诸葛亮,63,12,44;45;46;48;49;50;51;52;54;55;56;57,"Chapter 44, P044-001: 却说吴国太见孙权疑惑不决，乃谓之曰：「先姊遗言云：『伯符临终有言：内事不决问张昭，外事不决问周瑜。』今何不请公瑾问之？」权大喜，即遣使往鄱阳请周瑜议事。原来周瑜在鄱阳湖训练水师，闻曹操大军至汉上，便星夜回柴桑郡议军机事。使者未发，周瑜已先到。鲁肃与瑜最厚，先来接著，将前项事细述一番。周瑜曰：「子敬休忧，瑜自有主张。今可速请孔明来相见。」 || Chapter 44, P044-002: 鲁肃上马去了。周瑜方才歇息。忽报张昭、顾雍、张纮、步骘四人来相探。瑜接入堂中坐定，叙寒温毕。张昭曰：「都督知江东之利害否？」瑜曰：「未知也。」昭曰：「曹操拥众百万，屯于汉上，昨传檄文至此，欲请主公会猎于江夏。虽有相吞之意，尚未露其形。昭等劝主公且降之，庶免江东之祸。不想鲁子敬从江夏带刘备军师诸葛亮至此，彼因自欲雪愤，特下说词以激主公。子敬却执迷不悟。正欲待都督一决。」瑜曰：「公等之见皆同否？」顾雍等曰：「所议皆同。」瑜曰：「吾亦欲降久矣。公等请回。明早见主公，自有定议。」 || Chapter 44, P044-004: 程普等别去。又未几，诸葛瑾、吕范等一班儿文官相候。瑜迎入，讲礼毕。诸葛瑾曰：「舍弟诸葛亮自汉上来，言刘豫州欲结东吴，共伐曹操，文武商议未定。因舍弟为使，瑾不敢多言，专候都督来决此事。」瑜曰：「以公论之若何？」瑾曰：「降者易安，战者难保。」周瑜笑曰：「瑜自有主张。来日同至府下定议。」",same_body_paragraph
孙权,曹操,62,23,29;38;40;42;43;44;56;57;60;61;62;63;65;66;67;68;73;75;77;79;81;88;106,"Chapter 29, P029-030: 权闻言大喜，披衣起谢；次日厚赠鲁肃，并将衣服帏帐等物，赐肃之母。肃又荐一人见孙权，此人博学多才，事母至孝。覆姓诸葛，名瑾，字子瑜，瑯琊南阳人也。权拜之为上宾。瑾劝权勿通袁绍，且顺曹操，然后乘便图之。权依言，乃遗陈震回，以书绝袁绍。 || Chapter 29, P029-031: 却说曹操闻孙策已死，欲起兵下江南。侍御史张纮谏曰：「乘人之丧而伐之，既非义举；若其不克，弃好成仇；不如因而善遇之。」操然其说，乃即奏封孙权为将军，兼领会稽太守；既令张纮为会稽都尉，赍印往江东。孙权大喜，又得张纮回吴，即命与张昭同理政事。张纮又荐一人于孙权。此人姓顾，名雍，子元叹，乃中郎蔡邕之徒；其为人少言语，不饮酒，严厉正大。权以为丞，行太守事。自是孙权威震江东，深得民心。 || Chapter 29, P029-032: 且说陈震回见袁绍，具说「孙策已亡，孙权继立。曹操封之为将军，结为外应矣。」袁绍大怒，遂起冀、青、幽、并等处人马七十余万，复来攻取许昌。正是：江南兵革方休息，冀北干戈又复兴。未知胜负如何，且看下文分解。",same_body_paragraph
张飞,诸葛亮,62,24,37;38;39;40;41;42;45;51;52;53;56;57;60;63;64;65;70;71;72;73;77;81;85;99,"Chapter 37, P037-013: 玄德惆怅不已。张飞曰：「既不见，自归去罢了。」玄德曰：「且待片时。」云长曰：「不如且归，再使人来探听。」玄德从其言，嘱付童子：「如先生回，可言刘备拜访。」遂上马，行数里，勒马回观隆中景物，果然山不高而秀雅，水不深而澄清；地不广而平坦，林不大而茂盛；猿鹤相亲，松篁交翠，观之不已。忽见一人，容貌轩昂，丰姿俊爽，头戴逍遥巾，身穿皂布袍，杖藜从山僻小路而来。玄德曰：「此必卧龙先生也。」急下马向前施礼，问曰：「先生非卧龙否？」其人曰：「将军是谁？」玄德曰：「刘备也。」其人曰：「吾非孔明，乃孔明之友，博陵崔州平也。」玄德曰：「久闻大名，幸得相遇。乞即席地权坐，请教一言。」 || Chapter 37, P037-015: 玄德曰：「先生所言，诚为高见。但备身为汉胄，合当匡扶汉室，何敢委之数与命？」州平曰：「山野之夫，不足与论天下事，适承明问，故妄言之。」玄德曰：「蒙先生见教，但不知孔明往何处去了？」州平曰：「吾亦欲访之，正不知其何往。」玄德曰：「请先生同至敝县，若何？」州平曰：「愚性颇乐闲散，无意功名久矣。容他日再见。」言讫，长揖而去。玄德与关、张上马而行。张飞曰：「孔明又访不著，却遇此腐儒，闲谈许久！」玄德曰：「此亦隐者之言也。」 || Chapter 37, P037-016: 三人回至新野，过了数日，玄德使人探听孔明。回报曰：「卧龙先生已回矣。」玄德便教备马。张飞曰：「量一村夫，何必哥哥自去？可使人唤来便了。」玄德叱曰：「汝岂不闻孟子云：『欲见贤而不以其道，犹欲其入而闭之门也。』孔明当世大贤，岂可召乎？」遂上马再往访孔明。关、张亦乘马相随。",same_body_paragraph
刘备,孙乾,61,24,12;14;16;18;19;21;22;24;26;28;31;34;35;36;39;40;41;42;49;51;54;55;57;65,"Chapter 12, P012-011: 谦大喜使人来小沛，请刘玄德议军务。玄德引关、张带数十骑到徐州，陶谦教请入卧内。玄德问安毕，谦曰：「请玄德公来，不为别事：止因老夫病已危笃，朝夕难保；万望明公可怜汉家城池为重，受取徐州牌印，老夫死亦瞑目矣！」玄德曰：「君有二子，何不传之？」谦曰：「长子商，次子应，其才皆不堪任。老夫死后，犹望明公教诲，切勿令掌州事。」玄德曰：「备一身安能当此大任？」谦曰：「某举一人，可为公辅：系北海人，姓孙，名干，字公祐。此人可使为从事。」又谓糜竺曰：「刘公当世人杰，汝当善事之。」 || Chapter 12, P012-012: 玄德终是推托，陶谦以手指心而死。众军举哀毕，即捧牌印交送玄德。玄德固辞。次日，徐州百姓，拥挤府前哭拜曰：「刘使君若不领此郡，我等皆不能安生矣！」关、张二公亦再三相劝。玄德乃许权领徐州事；使孙干、糜竺为辅，陈登为幕官；尽取小沛军马入城，出榜安民；一面安排丧事。玄德与大小军士，尽皆挂孝，大设祭奠。祭毕，葬于黄河之原。将陶谦遗表，申奏朝廷。 || Chapter 14, P014-029: 遂点军马，克日起程。孙干曰：「可先定守城之人。」玄德曰：「二弟之中，谁人可守？」关公曰：「弟愿守此城。」玄德曰：「吾早晚欲与尔议事，岂可相离？」张飞曰：「小弟愿守此城。」玄德曰：「你守不得此城。你一者酒后刚强，鞭打士卒；二者作事轻易，不从人谏。吾不于心。」",same_body_paragraph
张飞,赵云,58,25,7;11;28;31;34;35;36;39;40;41;42;45;52;53;56;60;61;63;64;65;70;71;72;73;81,"Chapter 7, P007-014: 正说之间，忽见赵云冲到面前。弓箭手急待射时，云连刺数人，众军皆走。后面瓒军团团围裹上来。田丰慌对绍曰：「主公且于空墙中躲避！」绍以兜鍪扑地，大呼曰：「大丈夫愿临阵斗死，岂可入墙而望活乎！」众军士齐心死战，赵云冲突不入，绍兵大队掩至，颜良亦引军来到，两路并杀。赵云保公孙瓒杀透重围，回到界桥。绍驱兵大进，复赶过桥，落水死者，不计其数。袁绍当先赶来，不到五里，只听得山背后喊声大起，闪出一彪人马，为首三员大将，乃是刘玄德，关云长，张翼德。因在平原探知公孙瓒与袁绍相争，特来助战。当下三匹马，三般兵器，飞奔前来，直取袁绍。绍惊得魂飞天外，手中宝刀坠于马下，忙拨马而逃，众人死救过桥。公孙瓒亦收军归寨。玄德、关、张动问毕，瓒曰：「若非玄德远来救我，几乎狼狈。」教与赵云相见。玄德甚相敬爱，便有不舍之心。 || Chapter 11, P011-014: 却说刘玄德军到，见孔融。融曰：「曹兵势大，操又善于用兵，未可轻战。且观其动静，然后进兵。」玄德曰：「但恐城中无粮，难以久持。备令云长、子龙领军四千，在公部下相助；备与张飞奔曹营，迳投徐州去见陶使君商议。」融大喜，会合田楷，为犄角之势；云长、子龙领兵两边接应。 || Chapter 11, P011-022: 玄德坚执不肯。陶谦泣下曰：「君若舍我而去，我死不瞑目矣！」云长曰：「既承陶公相让，兄且权领州事。」张飞曰：「又不是我强要他的州郡；他好意相让，何必苦苦推辞？」玄德曰：「汝等欲陷我于不义耶？」陶谦推让再三，玄德只是不受。陶谦曰：「如玄德必不肯从，此间近邑，名小沛，足可屯军。请玄德暂驻军此邑，以保徐州，何如？」众皆劝玄德留小沛，玄德从之。陶谦劳军已毕，赵云辞去，玄德执手挥泪而别。孔融、田楷亦各相别，引军自回。玄德与关、张引本部军来至小沛，修葺城垣，抚谕居民。",same_body_paragraph
